Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor
AMD Radeon HD 8240 Mobile IGP,GPU,2013-11-01,28.0,15.0,110.0,110,1178.0,400.0,TSMC,AMD
AMD Radeon HD 8280 IGP,GPU,2013-09-18,28.0,15.0,110.0,110,1178.0,450.0,TSMC,AMD
AMD Radeon HD 8280 Mobile IGP,GPU,2013-09-18,28.0,15.0,110.0,110,1178.0,450.0,TSMC,AMD
AMD Radeon HD 8330 Mobile IGP,GPU,2013-08-13,28.0,15.0,110.0,110,1178.0,497.0,TSMC,AMD
AMD Radeon HD 8400 IGP,GPU,2013-11-23,28.0,25.0,110.0,110,1178.0,600.0,TSMC,AMD
AMD Radeon HD 8400 Mobile IGP,GPU,2013-11-23,28.0,25.0,110.0,110,1178.0,600.0,TSMC,AMD
AMD Radeon HD 8730 OEM,GPU,2013-09-05,28.0,47.0,123.0,123,1500.0,800.0,TSMC,AMD
AMD Radeon HD 8740 OEM,GPU,2013-09-05,28.0,55.0,123.0,123,1500.0,800.0,TSMC,AMD
AMD Radeon HD 8770 OEM,GPU,2013-09-02,28.0,85.0,160.0,160,2080.0,1050.0,TSMC,AMD
AMD Radeon R5 240 OEM,GPU,2013-11-01,28.0,50.0,77.0,77,950.0,730.0,TSMC,AMD
AMD Radeon R7 240,GPU,2013-10-08,28.0,30.0,77.0,77,950.0,650.0,TSMC,AMD
AMD Radeon R7 240,GPU,2013-10-08,28.0,30.0,77.0,77,950.0,730.0,TSMC,AMD
AMD Radeon R7 240 OEM,GPU,2013-11-01,28.0,50.0,77.0,77,950.0,730.0,TSMC,AMD
AMD Radeon R7 250,GPU,2013-10-08,28.0,55.0,123.0,123,1500.0,700.0,TSMC,AMD
AMD Radeon R7 250,GPU,2013-10-08,28.0,55.0,123.0,123,1500.0,925.0,TSMC,AMD
AMD Radeon R7 250,GPU,2013-10-08,28.0,65.0,77.0,77,950.0,1000.0,TSMC,AMD
AMD Radeon R7 250 OEM,GPU,2013-10-08,28.0,65.0,77.0,77,950.0,1000.0,TSMC,AMD
AMD Radeon R7 250E,GPU,2013-12-20,28.0,55.0,123.0,123,1500.0,800.0,TSMC,AMD
AMD Radeon R7 260,GPU,2013-12-17,28.0,95.0,160.0,160,2080.0,1000.0,TSMC,AMD
AMD Radeon R7 260X,GPU,2013-10-08,28.0,115.0,160.0,160,2080.0,1100.0,TSMC,AMD
AMD Radeon R9 255 OEM,GPU,2013-12-21,28.0,65.0,123.0,123,1500.0,900.0,TSMC,AMD
AMD Radeon R9 260 OEM,GPU,2013-12-21,28.0,85.0,160.0,160,2080.0,1100.0,TSMC,AMD
AMD Radeon R9 270,GPU,2013-11-13,28.0,150.0,212.0,212,2800.0,900.0,TSMC,AMD
AMD Radeon R9 270X,GPU,2013-10-08,28.0,180.0,212.0,212,2800.0,1000.0,TSMC,AMD
AMD Radeon R9 280X,GPU,2013-10-08,28.0,250.0,352.0,352,4313.0,850.0,TSMC,AMD
AMD Radeon R9 290,GPU,2013-11-05,28.0,275.0,438.0,438,6200.0,947.0,TSMC,AMD
AMD Radeon R9 290X,GPU,2013-10-24,28.0,290.0,438.0,438,6200.0,1000.0,TSMC,AMD
AMD Xbox One GPU,GPU,2013-11-22,28.0,95.0,363.0,363,5000.0,853.0,TSMC,AMD
NVIDIA GRID K100,GPU,2013-06-28,28.0,130.0,118.0,118,1270.0,850.0,TSMC,NVIDIA
